i,j,P,Q,est
2,27,X,X,-0.126
2,27,X,Y,0.0
2,27,X,Z,-0.072
2,27,Y,X,-0.063
2,27,Y,Y,-0.162
2,27,Y,Z,0.027
2,27,Z,X,0.072
2,27,Z,Y,-0.027
2,27,Z,Z,0.909
2,28,X,X,0.081
2,28,X,Y,-0.063
2,28,X,Z,-0.108
2,28,Y,X,-0.108
2,28,Y,Y,-0.09
2,28,Y,Z,-0.18
2,28,Z,X,-0.018
2,28,Z,Y,0.036
2,28,Z,Z,1.134
2,29,X,X,0.054
2,29,X,Y,-0.081
2,29,X,Z,-0.081
2,29,Y,X,0.018
2,29,Y,Y,0.036
2,29,Y,Z,-0.072
2,29,Z,X,-0.108
2,29,Z,Y,0.009
2,29,Z,Z,0.891
3,4,X,X,0.054
3,4,X,Y,-0.09
3,4,X,Z,-0.018
3,4,Y,X,0.09
3,4,Y,Y,0.099
3,4,Y,Z,-0.117
3,4,Z,X,0.009
3,4,Z,Y,-0.171
3,4,Z,Z,1.062
3,5,X,X,0.054
3,5,X,Y,-0.027
3,5,X,Z,-0.099
3,5,Y,X,-0.099
3,5,Y,Y,-0.072
3,5,Y,Z,-0.099
3,5,Z,X,0.018
3,5,Z,Y,0.135
3,5,Z,Z,0.999
3,6,X,X,0.045
3,6,X,Y,-0.234
3,6,X,Z,-0.045
3,6,Y,X,0.18
3,6,Y,Y,0.045
3,6,Y,Z,-0.045
3,6,Z,X,0.045
3,6,Z,Y,0.009
3,6,Z,Z,0.972
3,7,X,X,-0.036
3,7,X,Y,-0.036
3,7,X,Z,0.09
3,7,Y,X,0.072
3,7,Y,Y,0.252
3,7,Y,Z,-0.018
3,7,Z,X,-0.198
3,7,Z,Y,-0.027
3,7,Z,Z,1.071
3,8,X,X,-0.036
3,8,X,Y,0.018
3,8,X,Z,-0.126
3,8,Y,X,0.0
3,8,Y,Y,-0.027
3,8,Y,Z,0.027
3,8,Z,X,-0.054
3,8,Z,Y,0.171
3,8,Z,Z,0.981
3,9,X,X,0.045
3,9,X,Y,0.009
3,9,X,Z,0.018
3,9,Y,X,0.054
3,9,Y,Y,0.036
3,9,Y,Z,0.0
3,9,Z,X,-0.018
3,9,Z,Y,-0.063
3,9,Z,Z,0.963
3,10,X,X,-0.171
3,10,X,Y,0.144
3,10,X,Z,0.009
3,10,Y,X,0.144
3,10,Y,Y,-0.036
3,10,Y,Z,-0.036
3,10,Z,X,0.063
3,10,Z,Y,-0.135
3,10,Z,Z,0.882
3,11,X,X,0.045
3,11,X,Y,-0.126
3,11,X,Z,-0.027
3,11,Y,X,0.063
3,11,Y,Y,-0.081
3,11,Y,Z,0.018
3,11,Z,X,0.099
3,11,Z,Y,-0.072
3,11,Z,Z,1.053
3,12,X,X,-0.045
3,12,X,Y,-0.063
3,12,X,Z,-0.09
3,12,Y,X,0.009
3,12,Y,Y,-0.045
3,12,Y,Z,-0.126
3,12,Z,X,-0.009
3,12,Z,Y,0.126
3,12,Z,Z,1.053
3,13,X,X,-0.135
3,13,X,Y,-0.081
3,13,X,Z,0.036
3,13,Y,X,-0.081
3,13,Y,Y,0.045
3,13,Y,Z,0.072
3,13,Z,X,0.027
3,13,Z,Y,0.054
3,13,Z,Z,1.125
3,14,X,X,-0.009
3,14,X,Y,-0.063
3,14,X,Z,0.054
3,14,Y,X,-0.009
3,14,Y,Y,-0.027
3,14,Y,Z,-0.036
3,14,Z,X,0.036
3,14,Z,Y,-0.108
3,14,Z,Z,1.098
3,15,X,X,0.045
3,15,X,Y,-0.117
3,15,X,Z,-0.054
3,15,Y,X,0.009
3,15,Y,Y,0.063
3,15,Y,Z,0.0
3,15,Z,X,-0.045
3,15,Z,Y,0.018
3,15,Z,Z,1.071
3,16,X,X,0.027
3,16,X,Y,0.045
3,16,X,Z,-0.054
3,16,Y,X,0.027
3,16,Y,Y,0.189
3,16,Y,Z,-0.054
3,16,Z,X,0.216
3,16,Z,Y,-0.018
3,16,Z,Z,0.972
3,17,X,X,0.036
3,17,X,Y,-0.027
3,17,X,Z,0.063
3,17,Y,X,0.081
3,17,Y,Y,0.081
3,17,Y,Z,-0.054
3,17,Z,X,0.054
3,17,Z,Y,0.009
3,17,Z,Z,0.999
3,18,X,X,-0.144
3,18,X,Y,0.0
3,18,X,Z,-0.054
3,18,Y,X,-0.063
3,18,Y,Y,0.081
3,18,Y,Z,0.0
3,18,Z,X,-0.027
3,18,Z,Y,0.018
